participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.valid_code,player.payoff,group.id_in_subsession,group.amount_offered,group.offer_accepted,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
33,p29j30nr,,0,8,9,ultimatum_t1,1,Results,10.169.124.243,2017-08-18 00:15:11.855240+00:00,0,1,A1VL7AAOUPDN72,3Q8GYXHFEQHWLS8JHJSCTHJ39P25CV,0.00,2,,0.00,17,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
34,yk1330eq,,0,10,9,ultimatum_t1,1,Validation,10.171.119.12,2017-08-18 00:18:47.622560+00:00,0,1,AMDX0UNZS4A1G,374TNBHA8CAYHHSMX3Y4OJ6D897QY1,0.00,1,9791256,0.00,17,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
35,2wtj4shw,,0,10,9,ultimatum_t1,1,Validation,10.138.121.5,2017-08-18 00:23:32.883170+00:00,0,1,A2PZSS9QDG4KVQ,3DQQ64TANH09S0W7IP1R3HVNS5LWPH,0.50,2,6455058,0.50,16,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
36,3aygdhy3,,0,10,9,ultimatum_t1,1,Validation,10.138.147.190,2017-08-18 00:24:38.116625+00:00,0,1,A8G1M6RVRLMZS,3P529IW9KZ0HQTVE08YKIC03SSVFL5,0.50,1,9532617,0.50,16,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
37,4otghjpy,,0,8,9,ultimatum_t1,1,Results,10.164.78.133,2017-08-18 00:29:48.052293+00:00,0,1,A2GDEY3ZE51YY1,33UKMF931AZFSBLK4150L7PLDEPTTU,1.00,1,,1.00,18,0.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
38,dgdbveoj,,0,8,9,ultimatum_t1,1,Results,10.155.8.85,2017-08-18 00:30:14.474604+00:00,0,1,A38KA8KXRLEM7M,3U84XHCDIDSRX2FTVSTAZNEAIBUZ4K,0.00,2,,0.00,22,0.50,0,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
39,dwdeekt6,,0,8,9,ultimatum_t1,1,Results,10.63.100.77,2017-08-18 00:34:01.873038+00:00,0,1,A16KZ7182D9D2M,3JMSRU9HQJ9SGK7CJ1GKN3D57PIVEM,0.00,2,,0.00,18,0.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
40,4drep75r,,0,10,9,ultimatum_t1,1,Validation,10.158.160.96,2017-08-18 00:39:34.630787+00:00,0,1,A2YM2T8SA3L5W5,3DL65MZB8EUWHB1CSKLFXBPGMI3EC7,0.00,1,2911582,0.00,19,1.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
41,ahoq04hx,,0,10,9,ultimatum_t1,1,Validation,10.63.231.107,2017-08-18 00:39:52.063662+00:00,0,1,A1XXDPBNE3TW0W,3QJOXOW4XK69QXD359FT07USGW7MEX,1.00,2,4771317,1.00,19,1.00,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
42,16ijrdrf,,0,10,9,ultimatum_t1,1,Validation,10.109.135.32,2017-08-18 00:41:41.170479+00:00,0,1,A1ES0KWZ144MQH,3I02618YA1LW0W72NPMQLTAQ7PCPUD,0.50,1,7593301,0.50,20,0.50,1,1,urss1qre,,,3NSCTNUR2Z256TDR73RKY2XUNPPA5E,3MU03ZNWVE417KSB0OOMNMU5K2A5FU,,0
